,alphas,vxs,Rs,paths,curve
0,0.5,-0.05321022116501647,0.3899347142624448,pathfollow_fftg001/N128s040a05000g001/x2.npz,0
1,0.501,-0.05342485948787273,0.38982491142643455,pathfollow_fftg001/N128s040a05010g001/x2.npz,0
2,0.502,-0.05363896514173125,0.38971281898907856,pathfollow_fftg001/N128s040a05020g001/x2.npz,0
3,0.503,-0.053852549736292867,0.3895985092722173,pathfollow_fftg001/N128s040a05030g001/x2.npz,0
4,0.504,-0.05406561632558485,0.3894820535125445,pathfollow_fftg001/N128s040a05040g001/x2.npz,0
5,0.505,-0.05427816012157185,0.3893635238116934,pathfollow_fftg001/N128s040a05050g001/x2.npz,0
6,0.506,-0.05449016987435793,0.3892429945865597,pathfollow_fftg001/N128s040a05060g001/x2.npz,0
7,0.507,-0.05470162974091801,0.3891205434248995,pathfollow_fftg001/N128s040a05070g001/x2.npz,0
8,0.508,-0.05491252141374795,0.3889962513453081,pathfollow_fftg001/N128s040a05080g001/x2.npz,0
9,0.509,-0.05512282627679768,0.38887020253484433,pathfollow_fftg001/N128s040a05090g001/x2.npz,0
10,0.51,-0.05533252739251609,0.38874248368357855,pathfollow_fftg001/N128s040a05100g001/x2.npz,0
11,0.511,-0.055541611183891434,0.3886131830499881,pathfollow_fftg001/N128s040a05110g001/x2.npz,0
12,0.512,-0.05575006873918828,0.3884823893823536,pathfollow_fftg001/N128s040a05120g001/x2.npz,0
13,0.513,-0.055957896720771345,0.38835019080300587,pathfollow_fftg001/N128s040a05130g001/x2.npz,0
14,0.514,-0.056165097891664906,0.3882166737366431,pathfollow_fftg001/N128s040a05140g001/x2.npz,0
15,0.515,-0.05637168129214483,0.3880819219538641,pathfollow_fftg001/N128s040a05150g001/x2.npz,0
16,0.516,-0.05657766209273257,0.3879460157764022,pathfollow_fftg001/N128s040a05160g001/x2.npz,0
17,0.517,-0.05678306114505439,0.3878090314974087,pathfollow_fftg001/N128s040a05170g001/x2.npz,0
18,0.518,-0.05698790423713896,0.38767104105047406,pathfollow_fftg001/N128s040a05180g001/x2.npz,0
19,0.519,-0.057192221055624805,0.3875321119557754,pathfollow_fftg001/N128s040a05190g001/x2.npz,0
20,0.52,-0.05739604386231861,0.38739230755260995,pathfollow_fftg001/N128s040a05200g001/x2.npz,0
21,0.521,-0.05759940591296611,0.3872516874978387,pathfollow_fftg001/N128s040a05210g001/x2.npz,0
22,0.522,-0.05780233968332464,0.387110308474056,pathfollow_fftg001/N128s040a05220g001/x2.npz,0
23,0.523,-0.05800487501305285,0.38696822501519423,pathfollow_fftg001/N128s040a05230g001/x2.npz,0
24,0.524,-0.058207037324290896,0.38682549033048275,pathfollow_fftg001/N128s040a05240g001/x2.npz,0
25,0.525,-0.058408846101096486,0.3866821570006881,pathfollow_fftg001/N128s040a05250g001/x2.npz,0
26,0.526,-0.058610313813954026,0.3865382774435595,pathfollow_fftg001/N128s040a05260g001/x2.npz,0
27,0.527,-0.05881144543266248,0.38639390409331253,pathfollow_fftg001/N128s040a05270g001/x2.npz,0
28,0.528,-0.05901223859444837,0.3862490893006718,pathfollow_fftg001/N128s040a05280g001/x2.npz,0
29,0.529,-0.0592126844003162,0.3861038850188282,pathfollow_fftg001/N128s040a05290g001/x2.npz,0
30,0.53,-0.05941276872383922,0.3859583423730609,pathfollow_fftg001/N128s040a05300g001/x2.npz,0
31,0.531,-0.05961247385775971,0.38581251122528837,pathfollow_fftg001/N128s040a05310g001/x2.npz,0
32,0.532,-0.05981178030214068,0.3856664398115334,pathfollow_fftg001/N128s040a05320g001/x2.npz,0
33,0.533,-0.060010668516564225,0.38552017450767745,pathfollow_fftg001/N128s040a05330g001/x2.npz,0
34,0.534,-0.06020912050062205,0.3853737597316732,pathfollow_fftg001/N128s040a05340g001/x2.npz,0
35,0.535,-0.060407121119273655,0.3852272379686706,pathfollow_fftg001/N128s040a05350g001/x2.npz,0
36,0.536,-0.06060465913590322,0.38508064988862867,pathfollow_fftg001/N128s040a05360g001/x2.npz,0
37,0.537,-0.060801727950319524,0.38493403453100655,pathfollow_fftg001/N128s040a05370g001/x2.npz,0
38,0.538,-0.06099832605509091,0.3847874295332079,pathfollow_fftg001/N128s040a05380g001/x2.npz,0
39,0.539,-0.061194457228253014,0.38464087139543607,pathfollow_fftg001/N128s040a05390g001/x2.npz,0
40,0.54,-0.061390130473696944,0.384494395780065,pathfollow_fftg001/N128s040a05400g001/x2.npz,0
41,0.541,-0.06158535971070062,0.3843480378459168,pathfollow_fftg001/N128s040a05410g001/x2.npz,0
42,0.542,-0.061780163206041884,0.384201832612003,pathfollow_fftg001/N128s040a05420g001/x2.npz,0
43,0.543,-0.061974562740704904,0.38405581532911637,pathfollow_fftg001/N128s040a05430g001/x2.npz,0
44,0.544,-0.062168582513293325,0.38391002182004014,pathfollow_fftg001/N128s040a05440g001/x2.npz,0
45,0.545,-0.062362247805551184,0.38376448872853264,pathfollow_fftg001/N128s040a05450g001/x2.npz,0
46,0.546,-0.06255558346993262,0.38361925360573,pathfollow_fftg001/N128s040a05460g001/x2.npz,0
47,0.547,-0.06274861234013676,0.3834743547694945,pathfollow_fftg001/N128s040a05470g001/x2.npz,0
48,0.548,-0.06294135370250242,0.38332983090049727,pathfollow_fftg001/N128s040a05480g001/x2.npz,0
49,0.549,-0.06313382198375539,0.383185720378016,pathfollow_fftg001/N128s040a05490g001/x2.npz,0
50,0.55,-0.06332602580645905,0.3830420604250347,pathfollow_fftg001/N128s040a05500g001/x2.npz,0
51,0.551,-0.06351796752251442,0.3828988861747028,pathfollow_fftg001/N128s040a05510g001/x2.npz,0
52,0.552,-0.06370964327517538,0.3827562298040472,pathfollow_fftg001/N128s040a05520g001/x2.npz,0
53,0.553,-0.06390104356531111,0.3826141198701924,pathfollow_fftg001/N128s040a05530g001/x2.npz,0
54,0.554,-0.06409215423521206,0.3824725809559097,pathfollow_fftg001/N128s040a05540g001/x2.npz,0
55,0.555,-0.06428295773830212,0.3823316336650525,pathfollow_fftg001/N128s040a05550g001/x2.npz,0
56,0.556,-0.06447343455054695,0.3821912949549027,pathfollow_fftg001/N128s040a05560g001/x2.npz,0
57,0.557,-0.06466356459106944,0.3820515787419495,pathfollow_fftg001/N128s040a05570g001/x2.npz,0
58,0.558,-0.06485332854853036,0.38191249669144384,pathfollow_fftg001/N128s040a05580g001/x2.npz,0
59,0.559,-0.06504270904538531,0.3817740590976603,pathfollow_fftg001/N128s040a05590g001/x2.npz,0
60,0.56,-0.0652316916042401,0.3816362757728992,pathfollow_fftg001/N128s040a05600g001/x2.npz,0
61,0.5609999999999999,-0.06542026540398613,0.3814991568859992,pathfollow_fftg001/N128s040a05610g001/x2.npz,0
62,0.562,-0.06560842382647582,0.38136271371252356,pathfollow_fftg001/N128s040a05620g001/x2.npz,0
63,0.563,-0.06579616479713717,0.3812269592753999,pathfollow_fftg001/N128s040a05630g001/x2.npz,0
64,0.5640000000000001,-0.06598349092064537,0.38109190886655275,pathfollow_fftg001/N128s040a05640g001/x2.npz,0
65,0.565,-0.06617040940529006,0.38095758043742056,pathfollow_fftg001/N128s040a05650g001/x2.npz,0
